22716,Producto prueba CETHSFUR  1,0.48,NE,4,11111,34567
49334,Producto prueba XKILCQZE  2,0.24,KB,3,12345,23456
84519,Producto prueba HFXUAVYO  3,0.14,RS,3,11111,34567
17466,Producto prueba HWOELDTB  4,0.56,CP,3,12345,34567
45335,Producto prueba UWIXORPB  5,0.17,LK,1,12345,34567
82622,Producto prueba VJZLSITQ  6,0.74,IK,1,12345,23456
25646,Producto prueba BRXHYSGZ  7,0.63,SI,1,11111,1111
44117,Producto prueba MYVHDJAN  8,0.51,WV,2,11111,1111
59380,Producto prueba ZAUNCVJE  9,0.86,MP,2,11111,23456
98672,Producto prueba OBMCZKPS  10,0.77,ND,1,11111,23456
23686,Producto prueba BMTAKHUL  11,0.64,FJ,2,12345,1111
15497,Producto prueba PCFEKGXB  12,0.64,VX,1,11111,23456
81172,Producto prueba FUHKGIWD  13,0.81,SQ,3,12345,23456
84170,Producto prueba BTWMVXLK  14,0.38,ZG,3,11111,34567
96086,Producto prueba PCXYBADK  15,0.73,CK,1,12345,34567
94078,Producto prueba GVTQXFRH  16,0.42,GX,2,12345,1111
21535,Producto prueba HIPMVUJD  17,0.8,TN,2,11111,23456
16590,Producto prueba MWYXDTEQ  18,0.12,UH,2,11111,34567
76982,Producto prueba VILNPFOY  19,0.03,RL,4,11111,34567
76909,Producto prueba OFDGTVWX  20,0.16,BQ,3,11111,23456
41149,Producto prueba UXWKZSCQ  21,0.92,BF,3,11111,23456
76290,Producto prueba EWDAOFRS  22,0.4,ZU,2,11111,34567
69228,Producto prueba BWZRNDLX  23,0.97,ZW,3,12345,23456
82053,Producto prueba VUIXHZNO  24,0.74,MF,3,12345,34567
95731,Producto prueba FSCKJAZY  25,0.13,YI,3,11111,34567
20117,Producto prueba RFOJQPGY  26,0.35,GX,4,11111,23456
46873,Producto prueba OVMCHRKF  27,0.95,FM,1,11111,34567
18248,Producto prueba NATUIOBD  28,0.69,ZN,4,11111,1111
12793,Producto prueba RLKVEHBJ  29,0.8,WX,2,11111,1111
31745,Producto prueba OUYQNSKE  30,0.26,RH,3,12345,34567
17954,Producto prueba TJLBZIAP  31,0.46,YF,2,11111,23456
